Product ID,Product Name,Brand,Price,Quantity,Floor,Section,Category,Image URL
P1001,Rice,Daawat,3018.0,18,1,1,Groceries,https://m.media-amazon.com/images/I/61Y1PZx5CZL.jpg
P1002,Rice,India Gate,3186.3,42,1,1,Groceries,http://www.wbfoodbasket.com/cdn/shop/files/81mHz4XKK0L._SX569.jpg?v=1703577312
P1003,Rice,Kohinoor,3543.11,41,1,1,Groceries,https://m.media-amazon.com/images/I/91VMmr6x-YL.jpg
P1004,Rice,Lal Qilla,78.9,74,1,1,Groceries,http://5.imimg.com/data5/SELLER/Default/2023/3/296387778/VQ/SD/SS/187036174/lal-qilla-traditional-basmati-rice.jpeg
P1005,Rice,Fortune,3936.7,48,1,1,Groceries,"https://m.media-amazon.com/images/I/81ShgpqhFyL._AC_UF894,1000_QL80_.jpg"
P1006,Pasta,Disano,2729.42,60,1,1,Groceries,https://m.media-amazon.com/images/I/71XmMHS4ItL.jpg
P1007,Pasta,Bambino,1010.78,9,1,1,Groceries,https://bambinopasta.in/cdn/shop/files/bambino-nutraawell-pasta-macaroni-shell-730217.jpg?v=1720944883&width=1946
P1008,Pasta,Weikfield,4106.4,55,1,1,Groceries,https://m.media-amazon.com/images/I/81tiBGqz8YL.jpg
P1009,Pasta,Barilla,638.93,16,1,1,Groceries,https://images.ctfassets.net/43ibah8kumsy/2huYn9A2Qexgiodt3zir8r/bc039d6824ecc7977cbf4b8ad000a04b/Barilla_Ditalini_Pasta.png?w=1600&h=1600&fm=webp&q=50
P1010,Pasta,Del Monte,2822.49,64,1,1,Groceries,https://pinoywarehouse.com.au/wp-content/uploads/2023/12/del-monte-spaghetti-pasta-900g-2.jpg
P1011,Sugar,Madhur,1695.33,76,1,1,Groceries,https://www.urbangroc.com/wp-content/uploads/2021/11/Madhur-Sugar-e1682781044953.jpg.webp
P1012,Sugar,Parry,278.21,25,1,1,Groceries,"https://www.jiomart.com/images/product/original/491296576/parry-s-white-label-sulpher-free-sugar-5-kg-product-images-o491296576-p491296576-0-202203151752.jpg?im=Resize=(1000,1000)"
P1013,Sugar,Dhampur,3550.19,50,1,1,Groceries,http://www.dhampurgreen.com/cdn/shop/products/Breakfast-Sugar-1kg_1-scaled.jpg?v=1687512840
P1014,Sugar,Tata,2116.8,56,1,1,Groceries,https://lsmedia.linker-cdn.net/255729/2020/3492930.jpg?d=390x390
P1015,Sugar,24 Mantra Organic,1395.88,54,1,1,Groceries,"https://m.media-amazon.com/images/I/71QKN8LyB9L._AC_UF1000,1000_QL80_.jpg"
P1016,Flour,Aashirvaad,4812.14,78,1,1,Groceries,https://assets.shop.loblaws.ca/products/21359688/b3/en/front/21359688_front_a06_@2.png
P1017,Flour,Pillsbury,1962.93,7,1,1,Groceries,"https://m.media-amazon.com/images/I/816Ez9L+AXL._AC_UF894,1000_QL80_.jpg"
P1018,Flour,Shakti Bhog,2462.33,58,1,1,Groceries,https://www.exoticindias.com/wp-content/uploads/2017/11/Shakti-Bhog-Atta-whole-wheat-flour.jpg
P1019,Flour,Fortune,1004.08,66,1,1,Groceries,https://images.epallet.com/production/media/cache/b7/f5/b7f51902ce3931d738261b18be573293.jpg
P1020,Flour,Nature Fresh,4442.98,52,1,1,Groceries,https://cdn.atwilltech.com/flowerdatabase/m/mother-nature-fresh-flowers-625d8c409691e4.18760944.425.jpg
P1021,Milk,Amul,2135.64,37,1,1,Groceries,https://m.media-amazon.com/images/I/812816L+HkL.jpg
P1022,Milk,Mother Dairy,1614.27,32,1,1,Groceries,https://daily.myindianbrand.com/wp-content/uploads/2023/01/Mother-Dairy-Toned-Milk-1l.webp
P1023,Milk,Nandini,2356.12,76,1,1,Groceries,"https://ik.imagekit.io/dunzo/tr:w-$w$,h-$h$,cm-pad_resize/MWJKbzdXQktXdkN0ZzY0aFdhbFBZQT09-product_image.jpg"
P1024,Milk,Nestle,208.23,8,1,1,Groceries,https://www.nestleprofessional.us/sites/default/files/styles/np_product_detail/public/whaegqytyhb15urlmraw.jpg?itok=_0mOMOBj
P1025,Milk,Britannia,3617.52,59,1,1,Groceries,https://gifts.temglobal.com/wp-content/uploads/2024/04/71rXMzC4kYL._SL1500_.jpg
P1026,Eggs,Suguna,4955.63,52,1,1,Groceries,https://www.delfrez.com/UploadImages/193539dd-269e-4fae-9f3c-832069610288_img.jpeg
P1027,Eggs,Zorabian,2090.07,32,1,1,Groceries,https://s1.dmcdn.net/v/WTboa1cQntw4CchI8/x1080
P1028,Eggs,Venky's,2134.21,26,1,1,Groceries,http://5.imimg.com/data5/SELLER/Default/2021/3/UM/PC/AY/62723344/egg1-500x500.JPG
P1029,Eggs,Godrej,1208.59,99,1,1,Groceries,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=2121181067925632
P1030,Eggs,Eggspert,3514.98,52,1,1,Groceries,https://d1hbpr09pwz0sk.cloudfront.net/logo_url/eggspert-eggs-69bb98bb
P1031,Bread,Britannia,3773.81,95,1,1,Groceries,https://media.britannia.co.in/Sandwich_White_Bread_1_e47ebe8165.png
P1032,Bread,Harvest Gold,3530.98,35,1,1,Groceries,https://harvestgold.in/image/ProductImage/818a8a255136cbe36165ad397ee9a2b4.png
P1033,Bread,Modern,4885.39,100,1,1,Groceries,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_600/NI_CATALOG/IMAGES/CIW/2024/4/19/23e8a324-05ce-4bd3-8020-eb71eea04e15_breadandgourmetbread_VQ68OBONTM_MN.png"
P1034,Bread,Fresho,2414.75,18,1,1,Groceries,https://ariso.blob.core.windows.net/ariso/ruploads/09052022-40013625_3-fresho-brown-bread-safe-preservative-free.jpg
P1035,Bread,English Oven,1811.94,68,1,1,Groceries,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100064488440092
P1036,Oil,Fortune,91.81,14,1,1,Groceries,https://m.media-amazon.com/images/I/71wVU7pgwAL.jpg
